Año;Códgo SIES;Matrícula Primer Año;Matrícula primer año hombres;Matrícula primer año mujeres;Retención;Vacantes (1);Matrícula Total Cohorte Año Anterior
2016;I87S1C51J1V1;;51.0;9.0;;50.0;
2016;I87S1C52J1V1;;64.0;14.0;;75.0;
2016;I87S1C53J1V1;;35.0;19.0;;50.0;
2016;I87S1C208J1V1;;28.0;14.0;;35.0;
2016;I87S1C230J1V1;;39.0;21.0;;55.0;
2016;I87S1C235J1V1;;24.0;46.0;;70.0;
2016;I87S3C247J1V1;;24.0;12.0;;35.0;
2016;I87S1C189J1V1;;36.0;53.0;;75.0;
2016;I87S1C10J1V1;;27.0;21.0;;40.0;
2016;I87S1C39J1V1;;20.0;19.0;;35.0;
2016;I87S1C14J1V1;;15.0;4.0;;20.0;
2016;I87S3C260J1V1;;5.0;9.0;;20.0;
2016;I87S3C54J1V1;;37.0;44.0;;75.0;
2016;I87S1C506J1V1;;50.0;21.0;;70.0;
2016;I87S2C241J1V1;;19.0;29.0;;40.0;
2016;I87S1C414J1V1;;21.0;30.0;;40.0;
2016;I87S3C417J1V1;;15.0;8.0;;30.0;
2016;I89S1C269J1V1;77.0;34.0;43.0;0.883116883;50.0;68.0
2016;I89S1C288J1V1;73.0;58.0;15.0;0.794520548;80.0;58.0
2016;I89S1C28J1V1;57.0;38.0;19.0;0.842105263;50.0;48.0
2016;I89S1C10J1V1;92.0;37.0;55.0;0.902173913;80.0;83.0
2016;I89S1C2J1V1;95.0;48.0;47.0;0.694736842;65.0;66.0
2016;I89S1C38J1V1;133.0;75.0;58.0;0.917293233;95.0;122.0
2016;I89S1C43J1V1;52.0;40.0;12.0;0.730769231;40.0;38.0
2016;I89S1C46J1V1;63.0;57.0;6.0;0.793650794;45.0;50.0
2016;I89S1C47J1V1;69.0;68.0;1.0;0.652173913;55.0;45.0
2016;I89S1C45J1V1;85.0;65.0;20.0;0.858823529;75.0;73.0
2016;I89S1C48J1V1;67.0;59.0;8.0;0.611940299;60.0;41.0
2016;I89S1C11J1V1;217.0;115.0;102.0;0.829493088;185.0;180.0
2016;I89S1C76J1V1;21.0;10.0;11.0;0.80952381;15.0;17.0
2016;I89S1C84J1V1;95.0;35.0;60.0;0.936842105;60.0;89.0
2016;I89S1C44J1V1;23.0;8.0;15.0;0.739130435;25.0;17.0
2016;I89S1C53J1V1;72.0;38.0;34.0;0.875;55.0;63.0
2016;I89S1C87J1V1;54.0;9.0;45.0;0.796296296;45.0;43.0
2016;I89S1C4J1V1;52.0;28.0;24.0;0.730769231;45.0;38.0
2016;I89S1C30J1V1;71.0;36.0;35.0;0.549295775;65.0;39.0
2016;I89S1C36J1V1;74.0;56.0;18.0;0.756756757;60.0;56.0
2016;I89S1C31J1V1;61.0;53.0;8.0;0.803278689;55.0;49.0
2016;I89S1C32J1V1;101.0;92.0;9.0;0.871287129;90.0;88.0
2016;I89S1C34J1V1;182.0;126.0;56.0;0.901098901;150.0;164.0
2016;I89S1C33J1V1;96.0;89.0;7.0;0.802083333;90.0;77.0
2016;I89S1C35J1V1;77.0;70.0;7.0;0.753246753;65.0;58.0
2016;I89S1C37J1V1;70.0;46.0;24.0;0.9;65.0;63.0
2016;I89S1C108J1V1;82.0;65.0;17.0;0.865853659;75.0;71.0
2016;I89S1C26J1V1;14.0;8.0;6.0;0.928571429;20.0;13.0
2016;I89S1C1J1V1;114.0;74.0;40.0;0.745614035;110.0;85.0
2016;I89S1C51J1V1;56.0;17.0;39.0;0.857142857;55.0;48.0
2016;I89S1C21J1V1;75.0;2.0;73.0;0.96;65.0;72.0
2016;I89S1C22J1V1;83.0;55.0;28.0;0.915662651;70.0;76.0
2016;I89S1C27J1V1;55.0;44.0;11.0;0.781818182;50.0;43.0
2016;I89S1C23J1V1;50.0;6.0;44.0;0.92;50.0;46.0
2016;I89S1C74J1V1;78.0;43.0;35.0;0.743589744;75.0;58.0
2016;I89S1C8J1V1;67.0;19.0;48.0;0.880597015;60.0;59.0
2016;I89S1C50J1V1;77.0;20.0;57.0;0.805194805;70.0;62.0
2016;I89S1C7J1V1;52.0;30.0;22.0;0.865384615;45.0;45.0
2016;I89S1C40J1V1;27.0;13.0;14.0;0.888888889;25.0;24.0
2016;I89S1C25J1V1;17.0;9.0;8.0;0.882352941;15.0;15.0
2016;I89S1C24J1V1;30.0;0.0;30.0;1.0;30.0;30.0
2016;I89S1C42J1V1;110.0;96.0;14.0;0.8;85.0;88.0
2016;I89S1C200J1V1;49.0;14.0;35.0;0.632653061;45.0;31.0
2016;I89S1C95J1V1;66.0;16.0;50.0;0.53030303;60.0;35.0
2016;I89S1C82J1V1;70.0;30.0;40.0;0.814285714;55.0;57.0
2016;I89S1C78J1V1;36.0;16.0;20.0;0.861111111;30.0;31.0
2016;I89S1C86J1V1;36.0;22.0;14.0;0.666666667;30.0;24.0
2016;I89S1C81J1V1;12.0;3.0;9.0;0.916666667;10.0;11.0
2016;I89S1C75J1V1;46.0;32.0;14.0;0.847826087;35.0;39.0
2016;I89S1C80J1V1;83.0;48.0;35.0;0.722891566;70.0;60.0
2016;I88S6C10J1V1;51.0;37.0;14.0;0.921568627;60.0;47.0
2016;I88S6C17J1V1;59.0;53.0;6.0;0.830508475;50.0;49.0
2016;I88S6C11J1V1;55.0;48.0;7.0;0.963636364;57.0;53.0
2016;I88S6C19J1V1;63.0;37.0;26.0;0.936507937;65.0;59.0
2016;I88S6C353J1V1;108.0;87.0;21.0;0.861111111;80.0;93.0
2016;I88S1C56J1V1;154.0;103.0;51.0;0.376623377;150.0;58.0
2016;I88S6C56J1V1;104.0;73.0;31.0;0.375;100.0;39.0
2016;I88S6C13J1V2;107.0;96.0;11.0;0.925233645;100.0;99.0
2016;I88S3C63J1V1;18.0;13.0;5.0;0.666666667;25.0;12.0
2016;I88S3C73J1V2;31.0;29.0;2.0;0.838709677;30.0;26.0
2016;I88S4C53J1V1;47.0;41.0;6.0;0.808510638;40.0;38.0
2016;I88S2C204J1V1;34.0;15.0;19.0;0.794117647;30.0;27.0
2016;I88S3C203J1V1;16.0;8.0;8.0;0.875;25.0;14.0
2016;I88S2C71J1V2;74.0;72.0;2.0;0.905405405;70.0;67.0
2016;I88S3C71J1V2;40.0;38.0;2.0;0.95;25.0;38.0
2016;I88S2C73J1V2;39.0;36.0;3.0;0.820512821;35.0;32.0
2016;I88S2C80J1V1;31.0;20.0;11.0;0.806451613;40.0;25.0
2016;I88S3C80J1V1;10.0;7.0;3.0;0.9;50.0;9.0
2016;I88S2C61J1V1;24.0;18.0;6.0;0.666666667;30.0;16.0
2016;I88S2C76J1V2;19.0;17.0;2.0;0.736842105;30.0;14.0
2016;I88S2C94J1V1;69.0;63.0;6.0;0.927536232;70.0;64.0
2016;I88S3C94J1V1;45.0;42.0;3.0;0.688888889;30.0;31.0
2016;I88S2C68J1V2;74.0;68.0;6.0;0.594594595;70.0;44.0
2016;I88S3C68J1V2;30.0;30.0;0.0;0.933333333;30.0;28.0
2016;I88S3C67J1V2;48.0;47.0;1.0;0.729166667;35.0;35.0
2016;I88S2C65J1V1;89.0;68.0;21.0;1.0;90.0;89.0
2016;I88S3C65J1V1;60.0;51.0;9.0;0.833333333;45.0;50.0
2016;I88S2C66J1V2;15.0;5.0;10.0;0.733333333;30.0;11.0
2016;I88S2C59J1V2;26.0;14.0;12.0;0.769230769;30.0;20.0
2016;I88S2C67J1V2;76.0;72.0;4.0;0.842105263;70.0;64.0
2016;I88S4C60J1V1;52.0;45.0;7.0;0.692307692;45.0;36.0
2016;I88S2C70J1V2;21.0;18.0;3.0;0.904761905;30.0;19.0
2016;I88S1C40J1V1;13.0;11.0;2.0;0.846153846;10.0;11.0
2016;I88S1C13J1V2;106.0;88.0;18.0;0.820754717;100.0;87.0
2016;I88S1C18J1V1;60.0;41.0;19.0;0.75;50.0;45.0
2016;I88S1C16J1V1;28.0;19.0;9.0;0.857142857;25.0;24.0
2016;I88S1C10J1V1;58.0;47.0;11.0;0.827586207;60.0;48.0
2016;I88S1C11J1V1;60.0;58.0;2.0;0.8;55.0;48.0
2016;I88S1C12J1V1;67.0;63.0;4.0;0.820895522;70.0;55.0
2016;I88S1C14J1V2;108.0;63.0;45.0;0.916666667;100.0;99.0
2016;I88S4C14J1V2;106.0;73.0;33.0;0.962264151;100.0;102.0
2016;I88S1C99J1V1;31.0;13.0;18.0;0.870967742;30.0;27.0
2016;I88S1C20J1V1;110.0;37.0;73.0;0.745454545;100.0;82.0
2016;I88S4C20J1V1;108.0;56.0;52.0;0.824074074;100.0;89.0
2016;I88S2C31J1V1;29.0;27.0;2.0;1.0;35.0;29.0
2016;I88S3C31J1V1;87.0;79.0;8.0;0.816091954;70.0;71.0
2016;I88S1C1J1V2;69.0;18.0;51.0;0.811594203;65.0;56.0
2016;I88S1C17J1V1;77.0;71.0;6.0;0.883116883;70.0;68.0
2016;I88S1C19J1V1;49.0;22.0;27.0;0.755102041;55.0;37.0
2016;I88S1C93J1V1;38.0;30.0;8.0;0.684210526;50.0;26.0
2016;I88S1C2J1V1;43.0;32.0;11.0;0.651162791;40.0;28.0
2016;I88S4C35J1V1;36.0;27.0;9.0;0.666666667;30.0;24.0
2016;I88S1C36J1V1;27.0;10.0;17.0;0.62962963;30.0;17.0
2016;I88S2C335J2V1;77.0;61.0;16.0;0.909090909;;70.0
2016;I88S6C16J1V1;30.0;20.0;10.0;0.933333333;25.0;28.0
2016;I88S3C59J1V1;15.0;5.0;10.0;0.733333333;30.0;11.0
2016;I88S2C91J1V1;53.0;48.0;5.0;0.905660377;30.0;48.0
2016;I88S3C363J1V1;23.0;22.0;1.0;0.739130435;30.0;17.0
2016;I88S3C258J1V2;52.0;49.0;3.0;0.711538462;35.0;37.0
2016;I88S2C348J1V1;81.0;53.0;28.0;0.851851852;80.0;69.0
2016;I88S2C346J1V1;48.0;40.0;8.0;0.8125;60.0;39.0
2016;I88S2C349J1V2;45.0;41.0;4.0;0.577777778;48.0;26.0
2016;I88S2C347J1V1;65.0;28.0;37.0;0.723076923;80.0;47.0
2016;I88S3C347J1V1;56.0;30.0;26.0;0.607142857;80.0;34.0
2016;I71S1C395J1V1;;10.0;18.0;;20.0;
2016;I71S1C149J1V1;39.0;18.0;21.0;0.769230769;35.0;30.0
2016;I71S1C444J1V1;32.0;25.0;7.0;0.9375;20.0;30.0
2016;I71S1C141J1V1;48.0;24.0;24.0;0.541666667;40.0;26.0
2016;I71S1C396J1V1;;6.0;13.0;;20.0;
2016;I71S1C34J1V1;51.0;19.0;32.0;0.784313725;45.0;40.0
2016;I71S1C142J1V1;48.0;15.0;33.0;0.541666667;45.0;26.0
2016;I71S1C75J1V1;;12.0;12.0;;20.0;
2016;I71S1C46J1V1;43.0;16.0;27.0;0.953488372;35.0;41.0
2016;I71S1C73J1V1;30.0;13.0;17.0;0.833333333;30.0;25.0
2016;I71S1C11J1V1;;10.0;52.0;;60.0;
2016;I71S1C68J1V1;;14.0;49.0;;50.0;
2016;I71S1C18J1V1;102.0;78.0;24.0;0.852941176;80.0;87.0
2016;I71S1C19J1V1;141.0;85.0;56.0;0.985815603;110.0;139.0
2016;I71S1C16J1V1;102.0;92.0;10.0;0.754901961;85.0;77.0
2016;I71S1C22J1V1;66.0;37.0;29.0;0.772727273;60.0;51.0
2016;I71S1C67J1V1;;28.0;43.0;;60.0;
2016;I71S1C3J1V1;66.0;21.0;45.0;0.909090909;60.0;60.0
2016;I71S1C100J1V1;34.0;18.0;16.0;0.647058824;35.0;22.0
2016;I71S1C37J1V1;45.0;23.0;22.0;0.844444444;40.0;38.0
2016;I71S1C71J1V1;;28.0;62.0;;80.0;
2016;I71S1C5J1V1;35.0;15.0;20.0;0.971428571;30.0;34.0
2016;I71S1C38J1V1;47.0;33.0;14.0;0.595744681;45.0;28.0
2016;I71S1C14J1V1;125.0;110.0;15.0;0.912;110.0;114.0
2016;I71S1C15J1V1;30.0;22.0;8.0;0.666666667;30.0;20.0
2016;I71S1C20J1V1;108.0;98.0;10.0;0.824074074;100.0;89.0
2016;I71S1C21J1V1;59.0;43.0;16.0;0.881355932;55.0;52.0
2016;I71S1C103J1V1;50.0;19.0;31.0;0.78;50.0;39.0
2016;I71S1C109J1V1;;34.0;4.0;;35.0;
2016;I71S1C111J1V1;23.0;9.0;14.0;0.782608696;20.0;18.0
2016;I71S1C101J1V1;36.0;21.0;15.0;0.888888889;35.0;32.0
2016;I71S1C105J1V1;;26.0;9.0;;35.0;
2016;I71S1C106J1V1;34.0;19.0;15.0;0.764705882;40.0;26.0
2016;I71S1C102J1V1;49.0;26.0;23.0;0.979591837;50.0;48.0
2016;I71S1C2J1V1;161.0;59.0;102.0;0.937888199;160.0;151.0
2016;I71S1C36J1V1;38.0;8.0;30.0;0.789473684;35.0;30.0
2016;I71S1C69J1V1;55.0;20.0;35.0;0.8;50.0;44.0
2016;I71S1C6J1V1;202.0;83.0;119.0;0.861386139;190.0;174.0
2016;I71S1C152J2V1;31.0;10.0;21.0;0.838709677;30.0;26.0
2016;I71S1C23J1V1;258.0;111.0;147.0;0.903100775;250.0;233.0
2016;I71S1C39J1V1;43.0;37.0;6.0;0.813953488;35.0;35.0
2016;I71S1C41J1V1;41.0;19.0;22.0;0.804878049;35.0;33.0
